Key,Value
Density,0.576983
Density_unit,g/cm^3
Estimated_saturation_loading,26.78196
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,12920.6
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.7289
POAV_Volume_fraction_unit,
POAV_cm^3/g,1.2633
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,17726.2
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-9.1744540611
adsorption_energy_widom_dev,0.039427629
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.0996814472
conversion_factor_molec_uc_to_mg_g,7.1428466883
conversion_factor_molec_uc_to_mol_kg,0.1623418522
henry_coefficient_average,4.95305e-06
henry_coefficient_dev,2.27995e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.84, 1.48, 2.12, 2.76, 3.4, 4.04, 4.68, 5.32, 5.96, 6.6, 7.24, 7.88, 8.52, 9.16, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0036190219256512, 0.016521775239781, 0.030378598372194, 0.079418297798434, 0.048916549932954, 0.058867367288178, 0.13052843812798, 0.15815628195107, 0.1637411050177, 0.22481699909446, 0.098448810837891, 0.28986741383358, 0.23071215281648, 0.33672765246491, 0.4280686699235, 0.57067443110114, 0.25677292942583], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.10156106273632, 0.42855002143756, 0.75956505807336, 1.1091520026008, 1.4405891280524, 1.8466061004046, 2.2064530499911, 2.630230220974, 3.09556690612, 3.5903199348848, 3.8998733786597, 4.3404042287896, 4.9539914933648, 5.3765998030118, 5.8944053747889, 6.6973157073997, 6.9757644522931], 'enthalpy_of_adsorption_dev': [0.37438732716404, 0.41137319265338, 0.25312568905739, 0.3494371554713, 0.37462981716595, 0.34485736615866, 0.77868873313212, 0.58673561813541, 0.51819583780233, 0.72634565530086, 0.28065693879757, 0.74564948907901, 0.60931112552277, 0.79664142409352, 0.44732535980644, 0.39880425365627, 0.44179825896086], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-11.741096006585, -11.832006684792, -11.955765383752, -12.184688583473, -12.252597507337, -12.501974840571, -12.493391866836, -12.836551262544, -13.190307467179, -13.257213173364, -13.173597814971, -13.628182967083, -13.951593873937, -13.96629559419, -14.260289757468, -14.477223649531, -14.822791981575]}"
temperature,300
temperature_unit,K
