Key,Value
Density,0.576983
Density_unit,g/cm^3
Estimated_saturation_loading,33.871344
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.865, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.865, 1.865, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,12736.2
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.7185
POAV_Volume_fraction_unit,
POAV_cm^3/g,1.24527
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,17726.2
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-3.290381999
adsorption_energy_widom_dev,0.0051482466
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.0996814472
conversion_factor_molec_uc_to_mg_g,2.6039633099
conversion_factor_molec_uc_to_mol_kg,0.1623418522
henry_coefficient_average,1.12001e-06
henry_coefficient_dev,1.06033e-09
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.002371747234881, 0.0053760405840335, 0.0074792919282958, 0.017732605791916, 0.015087978722103, 0.016940401449901, 0.030898290632275, 0.039877186766931, 0.018430369547175, 0.030016371913143, 0.011712039255204, 0.018085785832424, 0.032624234121759, 0.034541585424642, 0.027028821463639, 0.025096181146034, 0.030273617237423, 0.026046514504248], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.02178627656524, 0.08714510626096, 0.15838071100632, 0.2237070723316, 0.29604660167192, 0.36241195085128, 0.42656945084072, 0.498389486254, 0.56400806291324, 0.61907441917948, 0.7024531944694, 0.7664158842362, 0.83274876504512, 0.89411398517672, 0.9526219887096, 1.0058701162312, 1.0797031906118, 1.1387306880717], 'enthalpy_of_adsorption_dev': [0.2087523051724, 0.13684987486801, 0.14202814430504, 0.071907402326374, 0.09513014558546, 0.1032540553574, 0.088894781039801, 0.064166604308531, 0.11995599178535, 0.15530863951178, 0.18481684168517, 0.13471857357844, 0.11143352207062, 0.12976740415555, 0.065518196103864, 0.03648626873862, 0.16343297331903, 0.14655298362891], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-5.6683178269437, -5.7595127751033, -5.8035131741954, -5.8463103107098, -5.8512213048648, -5.8663251935181, -5.8247649098301, -5.9780483566553, -5.9215862246722, -5.9910689847264, -5.9957099265837, -5.9766837943678, -6.0100798184131, -6.0648802308082, -6.0076136788805, -6.086089562911, -6.1043649031786, -6.1191183391119]}"
temperature,300
temperature_unit,K
