Key,Value
Density,0.886275
Density_unit,g/cm^3
Estimated_saturation_loading,14.4646328
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,824.947
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.6047
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.682294
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,1364.22
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-24.495804375
adsorption_energy_widom_dev,0.24082389
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,27.2823602987
conversion_factor_molec_uc_to_mg_g,60.4275444139
conversion_factor_molec_uc_to_mol_kg,1.3733907382
henry_coefficient_average,8.89038e-05
henry_coefficient_dev,2.62833e-06
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.40515834133174, 0.65897916926096, 0.98016530307448, 1.3979470556931, 1.9603504944883, 2.5603504944883, 3.1603504944883, 3.7603504944883, 4.3603504944883, 4.9603504944883, 5.5603504944883, 6.1603504944883, 6.7603504944883, 7.3603504944883, 7.9603504944883, 8.5603504944883, 9.1603504944883, 9.7603504944883, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.22357778852097, 0.36298533711889, 0.22993236926918, 0.18537855013385, 0.2473097310693, 0.14523065638368, 0.35820044667113, 0.51438989934296, 0.23480110494684, 0.11069960649519, 0.20242197788157, 0.27280170804607, 0.24086819188908, 0.23769672791917, 0.16320785785052, 0.29066078719698, 0.19524445481075, 0.37084583669137, 0.10804139649823, 0.32310468556689], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [1.8619401585462, 3.6900262353958, 5.6948333654832, 7.225546012744, 8.7414947095692, 10.017821057347, 10.716842608322, 11.421563730861, 11.9774951343, 12.294302042835, 12.762937297477, 13.057821456353, 13.203898728744, 13.358285015102, 13.639486768749, 13.694525402582, 13.931057622469, 13.887864483752, 13.95680869881, 14.588293760234], 'enthalpy_of_adsorption_dev': [2.1461981159529, 2.0626266743159, 5.2471906496055, 2.3256929152844, 0.81956354293981, 2.5321271191373, 2.7869037273536, 2.0383869862729, 1.7114505001122, 1.6679265504311, 3.1317604948742, 3.179979812593, 1.6179113350461, 2.2366052480607, 5.7406879100047, 4.061211901258, 3.1183751881137, 4.5852169231665, 3.8116651368137, 4.526304706792], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-27.591152212051, -27.150807246847, -27.920312040109, -28.241614493694, -27.650832106957, -27.346433946106, -27.681494849218, -28.794012371854, -28.110735243987, -29.4111436482, -28.96262161915, -27.927465515951, -29.929613379561, -28.688316746069, -29.069729365693, -29.352068793495, -30.85887048631, -31.154181320828, -30.149831633035, -28.656925245067]}"
temperature,298
temperature_unit,K
