Key,Value
Density,0.886275
Density_unit,g/cm^3
Estimated_saturation_loading,19.2354817
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,821.809
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.6024
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.679699
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,1364.22
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-9.8148626377
adsorption_energy_widom_dev,0.0448160917
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,27.2823602987
conversion_factor_molec_uc_to_mg_g,38.473453978
conversion_factor_molec_uc_to_mol_kg,1.3733907382
henry_coefficient_average,3.3373e-06
henry_coefficient_dev,3.32072e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0061473620429042, 0.022540298237426, 0.016182789008141, 0.010009394755812, 0.042002327229622, 0.0624645979325, 0.046118253469415, 0.023505152200975, 0.077989897961641, 0.095949946464853, 0.095103118954564, 0.086423047085675, 0.04709005665276, 0.05790990027031, 0.10403075617784, 0.13064316688106, 0.051070310703073, 0.16271208727901], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.067261811403345, 0.26822321117046, 0.46168246403016, 0.63505587734368, 0.82106448544864, 1.0077426215385, 1.1400001496271, 1.3189701301988, 1.501974446064, 1.6047899102025, 1.8315195536951, 1.8702663398965, 2.0954852535771, 2.2097513629953, 2.2978200440824, 2.4310217783036, 2.6203780263329, 2.6634681607439], 'enthalpy_of_adsorption_dev': [0.42227054284835, 0.44623749303667, 0.40777865356314, 0.66631940668313, 0.5988544810556, 0.6894075062566, 0.51311483042744, 0.73323210529379, 0.55205154107738, 0.45748628536746, 0.80043841094843, 0.34417989074855, 0.42036065451099, 0.92502504302711, 0.89799589267749, 0.85390761018682, 0.34081034812468, 0.8907101178153], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-12.163763355034, -12.459400197883, -12.408417267383, -12.559255194433, -12.446416153251, -12.553423711057, -12.194307201117, -12.542252043268, -12.556830959567, -12.814391675605, -12.473246364521, -12.719311150466, -12.678704946247, -12.507646603976, -12.830211518795, -12.635826910445, -12.878110797935, -12.725120434345]}"
temperature,298
temperature_unit,K
