Key,Value
Density,1.03926
Density_unit,g/cm^3
Estimated_saturation_loading,9.3060792
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,1207.66
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.4562
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.438966
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,2647.21
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-23.637011027
adsorption_energy_widom_dev,0.0594726357
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,14.0598000531
conversion_factor_molec_uc_to_mg_g,26.5569800057
conversion_factor_molec_uc_to_mol_kg,0.6035841888
henry_coefficient_average,0.000184318
henry_coefficient_dev,1.77231e-06
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.29841173595057, 0.42622067039571, 0.59793479742757, 0.83882330935945, 1.196438464721, 1.769734135957, 2.369734135957, 2.969734135957, 3.569734135957, 4.169734135957, 4.769734135957, 5.369734135957, 5.969734135957, 6.569734135957, 7.169734135957, 7.769734135957, 8.369734135957, 8.969734135957, 9.569734135957, 10.169734135957, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.30590838827515, 0.22929707608342, 0.20854849766484, 0.18964204322159, 0.12650722392888, 0.24550066652607, 0.11939499436201, 0.12520516306304, 0.15332369866025, 0.17815822956147, 0.15579841489942, 0.21847478610698, 0.10545994799204, 0.1538139089751, 0.15952571898496, 0.30988146146073, 0.11475641202635, 0.18970817383679, 0.088762600030624, 0.22588353159742, 0.1999816609254, 0.14007729036397], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [4.8427973804179, 6.2808266504773, 7.427817684454, 8.0751717866986, 8.6233067080007, 8.9935553091672, 9.2655202848839, 9.5206855006991, 9.6873954536456, 9.7408126543544, 9.9531636317309, 9.9214452826094, 9.9788863779304, 10.029969719756, 10.217935895905, 10.075691222057, 10.229876803086, 10.176630617877, 10.220551427369, 10.147698815781, 10.335976843721, 10.334729436437], 'enthalpy_of_adsorption_dev': [1.5231150050302, 1.3236279297931, 1.1158887863444, 3.2224678356738, 3.782221886874, 4.358348781522, 3.0894316928987, 4.1342919691036, 5.4527552900485, 3.9943833528722, 4.0294116218935, 2.6610643702244, 10.812254246589, 9.129378355907, 8.6316936469532, 10.709812260441, 13.233309063547, 7.8313927731078, 8.779101893193, 5.6889144612673, 6.4994619407515, 7.088695035461], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-32.95210629152, -33.872342836713, -35.592923016803, -35.997910171028, -38.308608415854, -36.718776283954, -38.936423469939, -37.878203919417, -34.29095906812, -39.834919807438, -37.570438252974, -39.029882932994, -37.444021268281, -37.999292775602, -35.030103098784, -41.695135317153, -33.148988883623, -33.638583971465, -36.626180772077, -34.032228347177, -39.759326532139, -36.666390544844]}"
temperature,298
temperature_unit,K
