Key,Value
Density,1.03926
Density_unit,g/cm^3
Estimated_saturation_loading,12.3247066
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,1198.13
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.4526
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.435502
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,2647.21
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-13.6911335342
adsorption_energy_widom_dev,0.0137335939
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,14.0598000531
conversion_factor_molec_uc_to_mg_g,16.908493601
conversion_factor_molec_uc_to_mol_kg,0.6035841888
henry_coefficient_average,1.05463e-05
henry_coefficient_dev,5.79176e-09
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0097970884700405, 0.036034902814523, 0.025390870503375, 0.052982384936464, 0.057185807034288, 0.045645067417851, 0.1073665452611, 0.080193109874731, 0.047010973004848, 0.059512435160261, 0.067271785805618, 0.032778468516384, 0.031334269006337, 0.064846219306227, 0.14835481085276, 0.040044403211267, 0.12794535234772, 0.089084141641115], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.20332739375388, 0.78956859682212, 1.2454154957171, 1.7033246405502, 2.0816210308806, 2.4312974709053, 2.7692442582144, 3.0291476099117, 3.3555558794581, 3.5951486232023, 3.79520660258, 4.0057770065995, 4.2123436354597, 4.3975132048873, 4.5836585687132, 4.7394637672954, 4.8649589799035, 4.9375097993972], 'enthalpy_of_adsorption_dev': [0.24659953605547, 0.48508981234359, 0.44671177238449, 0.26095548460585, 0.43162561838484, 0.56616962244228, 0.34096265994862, 0.46753925652474, 0.20777063846416, 0.40140542765209, 0.6548657304632, 0.40262949290364, 0.35114955975157, 0.63896201142401, 0.37121937591978, 0.85018814696565, 0.65664144072236, 0.26708822428974], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-16.216760702735, -16.59847588403, -16.61569454491, -16.971716511603, -16.988818853774, -17.348835898331, -17.81420144172, -17.430777148653, -17.968804636119, -17.799515518861, -18.053491806141, -18.343505441787, -18.239105285476, -18.375066556916, -18.64595270759, -18.651866836281, -18.846467952076, -18.779807770655]}"
temperature,298
temperature_unit,K
