Key,Value
Density,0.882399
Density_unit,g/cm^3
Estimated_saturation_loading,13.6296072
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,3224.29
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5673
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.642906
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,5683.56
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-19.9495786922
adsorption_energy_widom_dev,0.1015483591
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,6.5485801117
conversion_factor_molec_uc_to_mg_g,14.5682062393
conversion_factor_molec_uc_to_mol_kg,0.3311046265
henry_coefficient_average,4.10731e-05
henry_coefficient_dev,5.90544e-07
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.57304320956272, 1.0293854067076, 1.599032586209, 2.199032586209, 2.799032586209, 3.399032586209, 3.999032586209, 4.599032586209, 5.199032586209, 5.799032586209, 6.399032586209, 6.999032586209, 7.599032586209, 8.199032586209, 8.799032586209, 9.399032586209, 9.999032586209, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.063236055897565, 0.14752168308658, 0.11711645708223, 0.1402649377179, 0.10694108446022, 0.11255019440326, 0.15301595965417, 0.15969706456442, 0.11271438581027, 0.10752518368165, 0.030274199857804, 0.10940437911447, 0.10533581774546, 0.082926540174438, 0.14279681741759, 0.12533777035651, 0.17740823028315, 0.054699661805183, 0.11087977133079], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.82894526528974, 2.4225435550186, 4.1091491343313, 5.4714128991402, 6.418206578617, 7.1015237515563, 7.6584831214076, 8.0651872117533, 8.493421380437, 8.8177880277878, 9.229185526214, 9.5064277075981, 9.8451560181233, 10.099022212877, 10.340952085844, 10.567344874214, 10.821343510818, 10.969471443098, 11.092245038604], 'enthalpy_of_adsorption_dev': [1.2938810289924, 0.87000606952516, 1.3868552958686, 1.5655980893467, 1.6695538233851, 2.9169608224622, 2.4859981209415, 1.2519887505924, 2.6403018965188, 1.8603288435476, 1.72324937434, 3.7719545783343, 1.8157377466264, 3.0250383876681, 2.4516330348457, 2.2913721866088, 2.4160961895022, 1.8107877245932, 1.8044620820966], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-22.856046826802, -24.432091408712, -24.276865880123, -25.131126603643, -25.94207486302, -23.033533877096, -23.668880297324, -23.839229502881, -22.304820782719, -22.576021135251, -21.729140122887, -22.156103364845, -22.920243612448, -23.019098051932, -24.014915151364, -23.494327072577, -23.339627430928, -24.060399008921, -24.226294263883]}"
temperature,298
temperature_unit,K
