Key,Value
Density,0.678215
Density_unit,g/cm^3
Estimated_saturation_loading,24.3227746
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,8394.52
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5829
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.859462
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,14401.3
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-9.2959999279
adsorption_energy_widom_dev,0.0270785253
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.5844373369
conversion_factor_molec_uc_to_mg_g,4.7626758606
conversion_factor_molec_uc_to_mol_kg,0.170013717
henry_coefficient_average,3.33558e-06
henry_coefficient_dev,6.2515e-09
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0038007097898229, 0.016791865037641, 0.014426482877528, 0.019947833372611, 0.046609793066517, 0.018568191134695, 0.047599268394094, 0.038953752686971, 0.047982298808648, 0.035447815144881, 0.067886956194746, 0.050796206617585, 0.083723506522948, 0.11538292512146, 0.034280980062614, 0.062852358133689, 0.057301594279485, 0.054246429899552], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.06633085168755, 0.25972145477505, 0.44194215665565, 0.641121726807, 0.79975302545385, 0.9909249495345, 1.1289675870527, 1.3098366798831, 1.4707546630236, 1.6561121179828, 1.8188577485811, 1.98360954104, 2.1120549042334, 2.2511091233678, 2.4345539240108, 2.5546176109562, 2.6785576106491, 2.7792227324848], 'enthalpy_of_adsorption_dev': [0.51659873787134, 0.22921152710916, 0.26580392939396, 0.67256308564682, 0.59218002377924, 0.61440104595379, 0.37345442451756, 0.3787030173023, 0.76903683287188, 0.64114582657787, 0.68193331836738, 0.28064377707382, 0.6433170869605, 0.45159264340293, 0.47307882068295, 0.40931868332876, 0.45358001380193, 0.54803139524249], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-11.799695526012, -11.557347534359, -11.382772608981, -11.633627996308, -11.820229062217, -11.720713460211, -11.449926084824, -11.404739550855, -11.375086844096, -11.681952973652, -11.386554422023, -11.3527423445, -11.52418273428, -11.219952774106, -11.399012912291, -11.375322724136, -11.459322125498, -11.147863776575]}"
temperature,298
temperature_unit,K
