Key,Value
Density,0.909567
Density_unit,g/cm^3
Estimated_saturation_loading,10.2344484
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,2189.3
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.4391
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.482757
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,4985.87
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-13.8356459724
adsorption_energy_widom_dev,0.0198391528
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,7.4649453328
conversion_factor_molec_uc_to_mg_g,16.1096362244
conversion_factor_molec_uc_to_mol_kg,0.3661380816
henry_coefficient_average,8.80771e-06
henry_coefficient_dev,3.62411e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0084991367065561, 0.029388905095187, 0.070455765629963, 0.10345026264229, 0.15666370599683, 0.045099926717223, 0.084283193039996, 0.15986573561418, 0.066434400415101, 0.09252863149817, 0.10445378846864, 0.19938321794039, 0.15749668441186, 0.14862546189363, 0.10431817868534, 0.096550126142844, 0.0964832376582, 0.12738660801164], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.18195231965112, 0.73052785386036, 1.3086598847068, 1.9385729937434, 2.6062440924451, 3.1100867065349, 3.6488955074174, 4.192967543223, 4.5779251222172, 4.9931714740118, 5.2735142496409, 5.563019630762, 5.8743285346424, 6.0580108567291, 6.2979869088618, 6.5317935343195, 6.6430262835096, 6.80514307259], 'enthalpy_of_adsorption_dev': [0.24983192403948, 0.34839808602097, 0.29469930907186, 0.30416746069359, 0.2506421973344, 0.48268372785247, 0.484290206447, 1.1069790393521, 0.64040502856003, 1.125413600725, 0.65380363007491, 0.60816459221937, 0.35389649380992, 0.59036827883232, 0.79696553673726, 0.69298095998271, 0.73272112610478, 0.9503200385789], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-16.467118971008, -17.070092872049, -17.820291087775, -18.237388940161, -19.003750883407, -19.378527017701, -20.222903394777, -20.794259393214, -21.134739550855, -21.487410890225, -21.86832830311, -22.161122695867, -22.881836821232, -22.754415870561, -23.209420651352, -23.938345264523, -23.666591421183, -23.940950836846]}"
temperature,298
temperature_unit,K
